Address,Price,No. of Beds,No. of Baths,Area,Extra Info
"3418 Clemens Way, Sacramento, CA 95864","$1,650,000",5 beds,3.5 baths,"3,057 sq ft",
"2016 9th St, Sacramento, CA 95818","$635,000",4 beds,2 baths,"1,829 sq ft",
"4140 62nd St, Sacramento, CA 95820","$509,000",2 beds,1 bath,888 sq ft,
,,,,,
"835 26th St, Sacramento, CA 95816","$675,000",3 beds,2.5 baths,"1,449 sq ft",
"4130 62nd St, Sacramento, CA 95820","$485,000",2 beds,1 bath,855 sq ft,
,,,,,
"2154 63rd Ave, Sacramento, CA 95822","$399,999",3 beds,2 baths,"1,098 sq ft",
"5501 - 5503 Bobbie Jo Ct, Sacramento, CA 95841","$600,000",4 beds,3 baths,"2,041 sq ft",
"903 Fulton Ave #406, Sacramento, CA 95825","$274,990",2 beds,1 bath,"1,010 sq ft",
"2200 2nd Ave, Sacramento, CA 95818","$949,000",4 beds,2 baths,"2,116 sq ft",
"7495 Wainscott Way, Sacramento, CA 95822","$469,999",3 beds,2.5 baths,"1,686 sq ft",
"3916 Loreto Way, Sacramento, CA 95821","$449,000",2 beds,1 bath,"1,087 sq ft",
"7109 Roca Way, Sacramento, CA 95842","$475,000",4 beds,2.5 baths,"1,545 sq ft",
,,,,,
"7524 Schreiner St, Sacramento, CA 95822","$399,950",3 beds,2 baths,"1,088 sq ft",
"1429 Sebastian Way, Sacramento, CA 95864","$525,000",4 beds,2 baths,"1,291 sq ft",
"8220 Center Pkwy #38, Sacramento, CA 95823","$210,000",2 beds,1 bath,906 sq ft,$380 HOA | Garage | $380 HOA
"8737 Barracuda Way, Sacramento, CA 95826","$419,900",3 beds,2 baths,"1,710 sq ft",
"9173 Vervain Way, Sacramento, CA 95829","$599,950",3 beds,3 baths,"2,206 sq ft",
"6280 40th Ave, Sacramento, CA 95824","$394,900",3 beds,1 bath,993 sq ft,
"7441 Peacock Way, Sacramento, CA 95820","$410,000",3 beds,1 bath,925 sq ft,
"49 El Camino Ave, Sacramento, CA 95815","$400,000",3 beds,2 baths,"1,248 sq ft",
"3340 American River Dr, Sacramento, CA 95864","$1,550,000",5 beds,3.5 baths,"4,282 sq ft",
"29 Windcatcher Ct, Sacramento, CA 95834","$839,900",4 beds,3 baths,"2,567 sq ft",
"10077 Cristo Dr, Sacramento, CA 95829","$1,075,000",6 beds,4.5 baths,"3,821 sq ft",
"8312 Cabochon Way, Sacramento, CA 95829","$715,000",4 beds,2.5 baths,"2,206 sq ft",
"9157 Trujillo Way, Sacramento, CA 95826","$585,000",5 beds,3 baths,"2,007 sq ft",
"2625 27th St, Sacramento, CA 95818","$675,000",3 beds,2 baths,"1,407 sq ft","3,485 sq ft lot | 2 parking spots | 3,485 sq ft lot"
"3428 Shaker Way, Sacramento, CA 95835","$596,368",3 beds,2.5 baths,"1,917 sq ft",
"1525 Carp Way, Sacramento, CA 95832","$615,323",3 beds,2 baths,"1,685 sq ft",
"1524 Carp Way, Sacramento, CA 95832","$691,683",4 beds,3 baths,"2,693 sq ft",
"1916 17th St, Sacramento, CA 95811","$1,159,000",6 beds,3.5 baths,"3,263 sq ft",
"1012 Uptown Aly, Sacramento, CA 95818","$799,000",3 beds,3 baths,"1,520 sq ft","1,664 sq ft lot | Garage | 1,664 sq ft lot"
"2824 D St, Sacramento, CA 95816","$1,250,000",9 beds,6 baths,"2,965 sq ft",
"3829 39th St, Sacramento, CA 95820","$339,900",2 beds,1 bath,"1,126 sq ft",
"9279 Prudhoe Ct, Sacramento, CA 95829","$599,000",3 beds,2 baths,"2,004 sq ft",
"4301 Hovnanian Dr, Sacramento, CA 95834","$445,000",2 beds,2 baths,"1,510 sq ft",
"4512 Ruskin Ct, Sacramento, CA 95842","$380,000",3 beds,2 baths,"1,312 sq ft","6,970 sq ft lot | 2 garage spots | 6,970 sq ft lot"
"7325 Dorstone Way, Sacramento, CA 95829","$595,990",3 beds,2.5 baths,"1,632 sq ft","4,238 sq ft lot | 2 garage spots | 4,238 sq ft lot"
"4159 Gloster Way, Sacramento, CA 95834","$424,900",3 beds,2.5 baths,"1,285 sq ft",
"196 Amberglen Dr #196, Sacramento, CA 95823","$150,000",4 beds,2 baths,"1,632 sq ft",
"3826 Fong Ranch Rd, Sacramento, CA 95834","$549,900",4 beds,2 baths,"1,898 sq ft",
"3546 Cody Way, Sacramento, CA 95864","$699,000",5 beds,3 baths,"1,946 sq ft",
"50 Chief, Sacramento, CA 95833","$438,000",3 beds,2 baths,"1,403 sq ft",
"2117 14th St, Sacramento, CA 95818","$619,000",2 beds,1 bath,822 sq ft,
"7621 23rd St, Sacramento, CA 95832","$425,000",4 beds,2 baths,"1,343 sq ft",
,,,,,
"7317 Dorstone Way, Sacramento, CA 95829","$625,990",4 beds,3 baths,"2,024 sq ft",
"3500 Nuestra Ave, Sacramento, CA 95835","$599,000",4 beds,3 baths,"2,018 sq ft",
,,,,,
"3828 William Way, Sacramento, CA 95821","$555,000",3 beds,1 bath,"1,116 sq ft",
"9464 Roseport Way, Sacramento, CA 95826","$425,000",3 beds,2 baths,"1,256 sq ft",
"110 Wyndbrook St, Sacramento, CA 95828","$149,900",2 beds,2 baths,"1,152 sq ft",
"1911 Terrace Dr, Sacramento, CA 95825","$485,000",3 beds,2 baths,"1,358 sq ft",
"7421 Stellar Way, Sacramento, CA 95829","$545,000",3 beds,2 baths,"1,494 sq ft",
"2681 N Hawthorne St, Sacramento, CA 95815","$299,000",2 beds,1 bath,864 sq ft,
"1212 23rd, Sacramento, CA 95816","$850,000",4 beds,4.5 baths,"2,650 sq ft",
,,,,,
"1214 23rd St, Sacramento, CA 95816","$795,000",3 beds,3 baths,"2,298 sq ft",
"8373 Foppiano Way, Sacramento, CA 95829","$540,000",4 beds,2 baths,"1,387 sq ft",
"661 Natalino Cir, Sacramento, CA 95835","$568,888",3 beds,2.5 baths,"1,635 sq ft","3,385 sq ft lot | 2 garage spots | 3,385 sq ft lot"
"2645 Burnaby, Sacramento, CA 95833","$749,999",3 beds,2 baths,"1,710 sq ft",
"9125 Trujillo Way, Sacramento, CA 95826","$560,000",4 beds,3 baths,"1,793 sq ft",
"8036 Monkeyflower Way, Sacramento, CA 95832","$555,450",5 beds,3 baths,"2,236 sq ft",
"3589 Parc Villa Cir, Sacramento, CA 95827","$496,546",3 beds,2.5 baths,"1,644 sq ft",
"1105 Ciric Ave, Sacramento, CA 95833","$545,000",3 beds,2 baths,"1,548 sq ft",
"6100 Wendal Ln, Sacramento, CA 95841","$1,100,000",3 beds,2.5 baths,"2,470 sq ft",
"420 Rick Heinrich Cir, Sacramento, CA 95835","$520,000",3 beds,2 baths,"1,307 sq ft",
"4132 Olga Bay Ln, Sacramento, CA 95834","$665,000",2 beds,2.5 baths,"1,704 sq ft",
"7321 Dorstone Way, Sacramento, CA 95829","$609,990",4 beds,2.5 baths,"1,935 sq ft",
"7329 Dorstone Way, Sacramento, CA 95829","$579,990",3 beds,2.5 baths,"1,446 sq ft",
"1101 Castec Dr, Sacramento, CA 95864","$720,000",3 beds,1.5 baths,"1,393 sq ft",0.34 acre lot | 2 garage spots | 0.34 acre lot
"6235 Allenport Way, Sacramento, CA 95831","$710,000",4 beds,2 baths,"1,820 sq ft",
"5354 Wadsworth Way, Sacramento, CA 95835","$619,000",4 beds,3 baths,"2,265 sq ft",
"5728 Hillsdale Blvd, Sacramento, CA 95842","$159,999",2 beds,1.5 baths,933 sq ft,
"2673 Freeport Blvd, Sacramento, CA 95818","$599,000",3 beds,1 bath,"1,075 sq ft",
"1750 Auburn Blvd #27, Sacramento, CA 95815","$30,000",1 bed,1 bath,480 sq ft,Parking | Built 1986 | Parking
"5350 Dunlay Dr #116, Sacramento, CA 95835","$388,000",2 beds,2 baths,"1,307 sq ft",
"5320 Joline Ave, Sacramento, CA 95841","$695,000",3 beds,3 baths,"2,032 sq ft",
"5351 - 5349 Whittier Dr, Sacramento, CA 95820","$634,000",4 beds,3 baths,"1,888 sq ft",
"3440 Fulton Ave #33, Sacramento, CA 95821","$82,888",1 bed,1 bath,527 sq ft,
"2532 Prosper Rd, Sacramento, CA 95834","$409,900",2 beds,2.5 baths,"1,065 sq ft","1,451 sq ft lot | 2 garage spots | 1,451 sq ft lot"
"9 Captains Gate Pl, Sacramento, CA 95835","$535,000",3 beds,2.5 baths,"1,962 sq ft","2,792 sq ft lot | 2 garage spots | 2,792 sq ft lot"
"5530 Seyferth Way, Sacramento, CA 95823","$439,999",4 beds,2 baths,"1,521 sq ft",
"4200 Rose Valley Way, Sacramento, CA 95826","$434,900",3 beds,2 baths,"1,113 sq ft",
"2502 American River Dr, Sacramento, CA 95864","$514,900",3 beds,2 baths,"1,676 sq ft",
"4339 Shingle Oak Ln, Sacramento, CA 95834","$509,900",3 beds,2.5 baths,"1,762 sq ft",
"1705 Roanoke Ave, Sacramento, CA 95838","$349,900",2 beds,1 bath,939 sq ft,
"5108 Greenberry Dr, Sacramento, CA 95841","$299,900",2 beds,1 bath,948 sq ft,
"3241 Tice Creek Way, Sacramento, CA 95833","$399,000",2 beds,2.5 baths,"1,027 sq ft",
,,,,,
"2280 Hurley Way #36, Sacramento, CA 95825","$269,000",2 beds,2 baths,"1,105 sq ft",
"2280 Hurley Way #59, Sacramento, CA 95825","$264,900",2 beds,2 baths,"1,278 sq ft",
,,,,,
"3325 V St, Sacramento, CA 95817","$450,000",— beds,— baths,— sq ft,
"7509 Persimmon, Sacramento, CA 95823","$860,000",— beds,— baths,— sq ft,
"3083 Garden Hwy, Sacramento, CA 95833","$499,900",— beds,— baths,— sq ft,
"9072 Fruitridge Rd, Sacramento, CA 95826","$199,000",— beds,— baths,— sq ft,
"4175 Amapola Way, Sacramento, CA 95823","$469,000",3 beds,2 baths,"1,406 sq ft","6,534 sq ft lot | 2 garage spots | 6,534 sq ft lot"
"2537 Key West Way, Sacramento, CA 95826","$440,000",3 beds,2 baths,"1,055 sq ft","6,368 sq ft lot | 2 garage spots | 6,368 sq ft lot"
"3804 Sunnyvale, Sacramento, CA 95821","$515,000",3 beds,1 bath,"1,280 sq ft",0.24 acre lot | 2 garage spots | 0.24 acre lot
"20 Tove Ct, Elk Grove, CA 95758","$670,000",5 beds,3 baths,"2,222 sq ft",
"4253 Taylor St, Sacramento, CA 95838","$349,000",3 beds,2 baths,"1,588 sq ft",
"1111 Yale St, Sacramento, CA 95818","$549,900",2 beds,1 bath,"1,230 sq ft",
"240 W El Camino Ave, Sacramento, CA 95833","$389,900",2 beds,2 baths,"1,439 sq ft",
