Address,Price,No. of Beds,No. of Baths,Area,Extra Info
"4173 Justin Way, Sacramento, CA 95826","$439,800",3 beds,2 baths,"1,183 sq ft",
"2260 Glen Ellen Cir, Sacramento, CA 95822","$350,000",4 beds,3 baths,"4,098 sq ft",0.3 acre lot | 3 garage spots | 0.3 acre lot
"427 Wyndgate Rd, Sacramento, CA 95864","$680,000",3 beds,2.5 baths,"2,368 sq ft",
"6416 75th St, Sacramento, CA 95828","$330,000",3 beds,1 bath,980 sq ft,
"5924 Meghan Way, Sacramento, CA 95842","$445,000",3 beds,2 baths,"1,353 sq ft",
"3641 52nd St, Sacramento, CA 95820","$525,000",3 beds,2 baths,"1,528 sq ft",
"1508 Joby Ln, Sacramento, CA 95864","$1,475,000",4 beds,2 baths,"2,542 sq ft",
"8220 Newbury Park Ct, Sacramento, CA 95828","$565,000",3 beds,3 baths,"1,956 sq ft",
"5151 Sandburg Dr, Sacramento, CA 95819","$770,000",3 beds,2 baths,"1,365 sq ft",
"4971 48th St, Sacramento, CA 95820","$409,900",3 beds,1 bath,947 sq ft,
"6 Sea Hawk Pl, Sacramento, CA 95835","$575,000",3 beds,2.5 baths,"1,962 sq ft",
"364 Cinema St, Sacramento, CA 95823","$490,000",3 beds,2.5 baths,"1,434 sq ft",
"7696 20th Ave, Sacramento, CA 95820","$449,950",4 beds,2 baths,"1,287 sq ft","5,227 sq ft lot | 2 garage spots | 5,227 sq ft lot"
"3596 Birdland Ave, Sacramento, CA 95835","$589,000",3 beds,2.5 baths,"1,945 sq ft",
"2941 Gardendale Rd, Sacramento, CA 95822","$450,000",3 beds,2 baths,"1,851 sq ft",
"2760 Clay St, Sacramento, CA 95815","$300,000",3 beds,1 bath,"1,128 sq ft",
"3014 Nikol St, Sacramento, CA 95826","$548,000",4 beds,2.5 baths,"1,797 sq ft",
"5633 Revelstok Dr, Sacramento, CA 95842","$445,000",4 beds,2 baths,"1,269 sq ft","6,098 sq ft lot | 2 garage spots | 6,098 sq ft lot"
"9201 Thilow Dr, Sacramento, CA 95826","$549,000",3 beds,2 baths,"1,472 sq ft",
"26 Keely Ct, Sacramento, CA 95838","$515,000",4 beds,2.5 baths,"1,887 sq ft",
"3633 Darlene Ave, Sacramento, CA 95821","$419,500",2 beds,1 bath,"1,069 sq ft",
"6261 4th Ave, Sacramento, CA 95817","$525,000",2 beds,1 bath,"1,040 sq ft",
"171 Wapello Cir, Sacramento, CA 95835","$485,000",3 beds,2.5 baths,"1,712 sq ft","2,805 sq ft lot | 2 garage spots | 2,805 sq ft lot"
"7048 13th St, Sacramento, CA 95831","$675,000",3 beds,2.5 baths,"1,770 sq ft",0.28 acre lot | 2 garage spots | 0.28 acre lot
"10318 Gerber Rd, Sacramento, CA 95829","$800,000",3 beds,2 baths,"1,851 sq ft",
"2756 San Luis Ct, Sacramento, CA 95818","$525,000",2 beds,1 bath,906 sq ft,
"2440 40th Ave, Sacramento, CA 95822","$489,000",3 beds,2 baths,"1,269 sq ft",
"420 Seagull Way, Sacramento, CA 95831","$579,900",3 beds,2 baths,"1,409 sq ft",
"6912 Richeve Way, Sacramento, CA 95828","$449,000",3 beds,2 baths,"1,075 sq ft",
"3735 Amelia Rose Way, Sacramento, CA 95834","$515,000",3 beds,2.5 baths,"1,713 sq ft",
"8181 Folsom Blvd #135, Sacramento, CA 95826","$122,000",2 beds,2 baths,"1,662 sq ft",
,,,,,
"9164 Brian Ct, Sacramento, CA 95826","$399,000",4 beds,2 baths,"1,579 sq ft",
"2043 Odin Walk, Sacramento, CA 95835","$499,900",3 beds,2.5 baths,"1,414 sq ft",
,,,,,
"3594 Gold Creek Ln, Sacramento, CA 95827","$339,000",2 beds,2 baths,"1,020 sq ft",
"5616 53rd Ave, Sacramento, CA 95823","$425,000",3 beds,2 baths,"1,008 sq ft",
"1106 E, Sacramento, CA 95814","$2,050,000",0 beds,— baths,"5,000 sq ft",
"6810 Arabella Way, Sacramento, CA 95831","$799,000",3 beds,2.5 baths,"2,169 sq ft",
"9921 Redstone Dr, Sacramento, CA 95827","$434,999",3 beds,1 bath,"1,064 sq ft",
"6990 Chris Ave, Sacramento, CA 95828","$460,000",3 beds,2 baths,"1,092 sq ft",
"9274 Ryecroft Ct, Sacramento, CA 95829","$625,000",4 beds,3 baths,"2,040 sq ft",
,,,,,
"6844 Westmoreland Way, Sacramento, CA 95831","$825,000",3 beds,2 baths,"1,987 sq ft",
